,Titre,Description,Détail des conditions,Résumé horaires,Adresse
4642,Lecture,La peur,"Entrée libre, sur réservation, tél 01 41 23 82 82","Samedi 21 octobre 2017, 15h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4643,L'Esprit chez Henri Bergson,Philosophie,"Entrée libre, sur réservation tél : 01 41 23 82 82","Vendredi 24 novembre 2017, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4644,Pharmacie de garde,Retrouvez les pharmacies de garde du mois de septembre.,,"Dimanche 17 septembre 2017, 09h00","3 allée Sainte-Lucie, 92130 Issy-les-Moulineaux"
4645,Pharmacie de garde,Retrouvez les pharmacies de garde du mois de septembre.,,"Dimanche 24 septembre 2017, 08h00","116, boulevard Gallieni"
4646,Contre le diable,"Guerre 14. Avec cette pièce, les Impossibles parlent d’aujourd’hui. Le diable c’est l’autre. L’ennemi. Et si l’ennemi c’était la guerre ?","Sur réservation, participation au chapeau",12 et 13 décembre 2017,"31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
4647,Don du sang,"Le camion du don du sang vous attend nombreux de 15h à 20h sur l'esplanade de l'Hôtel de Ville pour une nouvelle collecte de sang et de plaquettes, indispensable pour sauver des vies.",Entrée libre,"Lundi 2 octobre 2017, 15h00","Avenue de la République, 92130 Issy-les-moulineaux"
4648,Mia madre φ La philo à l'écran,"Cycle de projection ""la Halle Hors les murs""",Entrée libre,"Samedi 7 avril 2018, 20h00","14 rue du Chevalier de la Barre, 92130 Issy-les-Moulineaux"
4649,Black Friday chez vos commerçants à Issy-les-Moulineaux,Plusieurs commerçants de la ville vous proposent de marquer le coup d’envoi de la période des achats de Noël par une ouverture nocturne et des promotions monstres dans vos boutiques préférées.,,"Vendredi 24 novembre 2017, 09h30",issy-les-moulineaux
4650,Cinéma : Coco,La nouvelle merveille des Studios Disney Pixar.,,27 - 31 décembre 2017,"11-13, rue Danton 92130 Issy-les-Moulineaux"
4651,Madame Bovary,L'adaptation originale de cette oeuvre classique est une réussite !,Sur réservation,"Jeudi 21 décembre 2017, 20h30",11-13 rue Danton / Mail Raymond Menand  92130 Issy-les-Moulineaux
4652,Spectacle : Les Contes du Santour,Festival Contes en balades,"Entrée libre, sur réservation, tél 01 41 23 82 82","Samedi 20 janvier 2018, 15h30, 16h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4653,Lancement de la Science se Livre,Les Rêves,"Entrée libre, sur inscription, tél 01 41 23 82 82","Jeudi 1 février 2018, 18h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4654,Conférence,L'Amour en contrastes chez Levinas,"Entrée libre, sur inscription, tél 01 41 23 82 82","Vendredi 9 février 2018, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4655,Accueil Parents A3N,Venez découvrir l'association A3N,Entrée libre,"Jeudi 8 février 2018, 14h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4656,Stages de danse,L'association D'ARTSLOVO vous propose des stages de danse pendant les vacances d'hiver,Sur inscription,19 février - 2 mars 2018,"54 rue Rabelais, 92130 Issy-les-Moulineaux"
4657,Pharmacie de garde,Retrouvez les pharmacies de garde du mois de février.,,"Dimanche 11 février 2018, 09h00","30 avenue de la République, 92130 Issy-les-Moulineaux"
4658,Pharmacie de garde,Retrouvez les pharmacies de garde du mois de février.,,"Dimanche 25 février 2018, 09h00","44, rue de Champs Chardon Issy-les-Moulineaux"
4659,Don du sang,"Le camion du don du sang vous attend nombreux de 15h à 20h sur l'esplanade de l'Hôtel de Ville pour une nouvelle collecte de sang et de plaquettes, indispensable pour sauver des vies.",,"Lundi 5 mars 2018, 15h00","Avenue de la République, 92130 Issy-les-moulineaux"
4660,Inscrivez-vous au stage de design aux Arcades,Découvrez la méthode du design lors d'un stage encadré par un professionnel du domaine.,,26 février - 9 avril 2018,52-54 boulevard Gallliéni
4661,"Lecture "" Balades dans Paris""",Plaisir de Lire,"Entrée libre, sur réservation, tél 01 41 23 82 82","Samedi 5 mai 2018, 15h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4662,Sophrologie prénatale A3N,"Avec Alice Kibé-Crenn, sophrologue. Séance hebdomadaire pour les futures mamans",Sur réservation,"Vendredi 4 mai 2018, 10h00","10 rue Henri Mayer, 92130 Issy-les-Moulineaux"
4663,Annulé | Danse parents-bébé,"Un atelier ludique ouvert aux parents, père et mère, accompagnés de leur enfant âgé de 1 an à 2 ans et demi, animé par Pamela Paniagua Sanchez, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 4 duos parent-bébé par séance.","Samedi 20 juin 2020, 09h30, 10h45","60 rue du Général Leclerc, 92130"
4664,ImagineCup Junior,"Microsoft France renouvelle la compétition en lançant Imagine Cup Junior, une initiation ludique à la programmation pour les filles et garçons du CM1 à la 3ème.",inscription requise,"Samedi 11 juin 2016, 10h00","41 quai du président Roosevelt, 92130 Issy les Moulineaux"
4665,SYNDROM / Compagnie SAM (Scène Partagée),"La compagnie SAM se produira avec un extrait de SYNDROM, création en cours lors de La Scène Partagée.",Entrée payante entre 10 et 14e. Invitation pro sur demande : compagnielautreetmoi@gmail.com,"Vendredi 31 janvier 2020, 20h00",31 Bd Gambetta 92130 Issy les Moulineaux
4666,"""Chabrol, l'anticonformiste"" (57') de Cécile Maistre-Chabrol","Mystères, vices cachés, scandales ou secrets de famille, rien de tout ça dans la vie du cinéaste Claude Chabrol. Non ! Une vie de bouddha gourmand, d’anarchiste sournois, de jouisseur impertinent…",,"Dimanche 17 février 2019, 22h40",Issy-les-Moulineaux
4667,"""Jean-Pierre Melville, le dernier des samouraïs"" (52') de Cyril Leuthy","Un passionnant portrait du maître du film noir et de l'ambiguïté qui s'est forgé, en perfectionniste obsessionnel, son propre personnage.",,29 mars et 14 avril 2020,Issy-les-Moulineaux
4668,La Journée des IME,Rencontres et découverte du Handball entres les IME parisiennes,Sur inscription uniquement,"Lundi 23 janvier 2017, 10h00","6 Boulevard des Frères Voisin, 92130 Issy-les-Moulineaux"
4669,Coup d'envoi de la plateforme du pôle de compétence numérique !,"Seine Ouest Entreprise vous invite à participer au lancement le jeudi 28 juin autour de la thématique de la marque employeur, au sein de l’Ecole informatique Hitema à Issy-les-Moulineaux.","Entrée libre, sur inscription","Mardi 28 juin 2016, 08h30",48 rue Camille Desmoulins 92130 Issy-les-Moulineaux
4670,Agile Tour Paris,Agile Paris est un regroupement de professionnels qui souhaitent faire découvrir au monde de l'entreprise les évolutions du domaine de l'Agile et de l'informatique.,,"Jeudi 17 novembre 2016, 08h30",41 Quai du Président Roosevelt  92130 Issy-les-Moulineaux
4671,"Antoine Yeretzian, cofondateur de Blockchain France : Comprendre les enjeux de la blockchain","Un MeetUp incontournable, pour ceux qui aiment savoir de quoi l'avenir sera fait.",Entrée libre sur inscription,"Mardi 15 novembre 2016, 12h00",41-43 rue Camille Desmoulins à Issy-les-Moulineaux
4672,Rendez-vous du futur : La Social Good Week au Cube,"Pour sa 2e année consécutive, Le Cube est partenaire de cet événement planétaire qui entend rendre le monde plus solidaire grâce aux nouvelles technologies.",Entrée libre,"Samedi 3 décembre 2016, 13h30","20 cours Saint-Vincent, 92130 Issy-les-Moulineaux"
4673,"Journée mondiale de l'énergie : conférence sur les nouvelles mobilités, en route vers l'hydrogène",La plus grande flotte de véhicules utilitaires à hydrogène est basée à Issy-les-Moulineaux dans les locaux de l'agence Engie-Cofely,Sur inscription,"Mardi 22 octobre 2019, 10h30",62 rue du général Leclerc Issy-les-Moulineaux
4674,Mini Lab : impression 3D,"S'initier à l'impression 3D dans le minilab du Temps des Cerises, sur inscription","Gratuit, sur réservation par téléphone ou sur place","Dimanche 1 mars 2020, 14h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
4675,Découvrez l'expérimentation « Mon Compte Mobilité » en Ile-de-France,"Avec le soutien du Ministère de la Transition Ecologique & Solidaire, Capgemini, lance le projet innovant « Mon Compte Mobilité », en partenariat avec La Fabrique des Mobilités et l’ADEME.","Réservé aux entreprises, sur inscription","Vendredi 3 décembre 2021, 14h00","147 quai du Président Roosevelt, Issy-les-Moulineaux"
4676,[REPORTÉ] JOHNNY MAFIA ● WE HATE YOU PLEASE DIE ● TRUCKKS,"Le Réacteur présente JOHNNY MAFIA, WE HATE YOU PLEASE DIE et TRUCKKS à l'Espace Icare !",12€ en prévente / 15€ sur place,"Vendredi 21 janvier, 19h00","31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
4677,La Batucada du Réacteur Unidos De Vila Sena  - Fête de la musique - Le Réacteur,"41 ième édition de la Fête de la Musique. Chacun cherche sa voix !!
Après deux années marquées par les restrictions sanitaires, voici la plus belle occasion pour se retrouver et fêter l'été en musique",Entrée libre,"Mardi 21 juin, 18h40",place de la Mairie 92130 Issy-les-Moulineaux
4678,Intelligence Artificielle : parlons éthique et genre,“L’intelligence artificielle ne peut pas être une nouvelle machine à exclure.”*,"Entrée gratuite,  inscription indispensable","Mardi 26 juin 2018, 18h00",39 quai du Président Roosevelt 92310
4679,"[PIND] Journée d’étude « La scène punk en France (1976-2016) Authenticité, pureté, hybridité » — 20 octobre 2018","Cette vingt-deuxième journée d’étude, en partenariat avec Le Réacteur, s’inscrit dans le cadre du projet de recherche PIND (Punk is not dead. Une histoire de la scène punk en France 1976-2016)",Entrée libre,"Samedi 20 octobre 2018, 10h00",31 Boulevard Gambetta 92130 Issy-les-Moulineaux
4680,"Les journalistes de RFI, France 24 et Monte Carlo Doualiya vont à la rencontre des élèves à l’étranger",Intervention des journalistes de FMM à l’étranger notamment dans les établissements français voire dans certains systèmes éducatifs nationaux en lien avec le CLEMI.,Les interventions sont en cours d'organisation en lien étroit avec le CLEMI et l'AEFE,18 - 25 mars 2019,80 rue Camille Desmoulins 92130 Issy-les-Moulineaux
4681,La vie est une formidable improvisation ! [Rencontres de théâtre amateur d'Issy et d'ailleurs],Théâtre d’improvisation par la compagnie Imagine,8€ / 12€,1 et 2 avril 2019,"31 boulevard Gambetta,"
4682,Cube XP,Expériences créatives & numériques en famille,Entrée libre sur inscription,"Samedi 22 juin 2019, 14h00","20, cours saint Vincent 92130"
4683,Conférence Copropriétaires pour bien démarrer sa rénovation énergétique à Issy-les-Moulineaux,"Quelles sont les étapes d'une démarche de rénovation énergétique, comment bien initier son projet? Venez profiter de nos conseils pour partir du bon pied avec les meilleures chances de réussite","Mardi 19 novembre 2019, 19h, à Issy-les-Moulineaux. Inscription gratuite mais obligatoire au 0800 10 10 21 (appel gratuit) ou en ligne.","Mardi 19 novembre 2019, 19h00","33 rue du Gouverneur Général Eboué, 92130 Issy-les-Moulineaux"
4684,Printemps d'Issy : groupe musical Marching Band NSL,25 musiciens,Entrée libre,"Dimanche 3 juin 2018, 11h00",issy-les-moulineaux
4685,Tennis de Table masculin : EPI vs Nantes,Journée 16 - ProB,Entrée libre,"Dimanche 13 mai 2018, 15h30","1 rue Rabelais, 92130 Issy-les-moulineaux"
4686,Dionysos,"Dionysos arrive à Thèbes. Il apporte avec lui une religion nouvelle, une religion qui fait peur car elle s’impose dans la cité comme une épidémie soudaine.",Tarifs : 12€ / 14€,24 et 25 mai 2018,"31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
4687,"Projection-débat du film ""Le champs des possibles""",Un film de Marie-France Barrier produit par France Télévisions et Caméra Subjective,Entrée libre,"Jeudi 7 juin 2018, 19h00",15 rue Diderot 92130
4688,Inauguration du Chemin du Colonel Arnaud Beltrame,Cérémonie officielle d'inauguration au Fort d'Issy.,Accès libre.,"Mardi 3 juillet 2018, 11h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
4689,"Exposition ""Chemin de liberté""","Exposition du peintre plasticien Bernard Sauvé, en présence de l'artiste.",Galerie Patrick Leplat,15 et 16 septembre 2018,4 parvis Corentin-Celton 92130 Issy-les-Moulineaux
4690,Episode de pollution à l'ozone,Privilégiez les transports en commun. Le stationnement résidentiel sera gratuit lundi 23 juillet à Issy.,,"Lundi 23 juillet 2018, 08h00","47 rue du Général Leclerc, 92130 Issy-les-Moulineaux"
4691,Exposition de Jean-François Berjoan,Exposition des peintures de Jean-François Berjoan,Entrée libre,6 - 27 septembre 2018,"31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
4692,Le château de la sorcière spectacle pour enfants,Spectacle pour enfants à découvrir en famille dès 3 ans,Entrée libre dans la limite des places disponibles,"Samedi 16 février 2019, 16h00",Rue Honoré Fragonard 92130 Issy-les-Moulineaux
4693,Alerte orange : des épisodes orageux prévus en Ile-de-France,"La région a été placée en vigilance orange ce vendredi 27 juillet jusqu'au samedi 28 juillet, 6h du matin. En raison de rafales de vent, des parcs et jardins de la ville sont fermés depuis midi.",,"Vendredi 27 juillet 2018, 13h00","47 rue du Général Leclerc, 92130 Issy-les-Moulineaux"
4694,Café Polyglotte de Septembre,Venez pratiquer les langues étrangères !,Entrée libre,"Jeudi 20 septembre 2018, 19h00","31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
4695,Atelier Sweet Home - Noël,"Atelier créatif animé par Isabelle Schwartz, pour réaliser de beaux objets décoratifs en famille et apprendre le plaisir du faire-ensemble. Sur réservation","Atelier gratuit, renseignements par téléphone, inscription en ligne","Samedi 1 décembre 2018, 15h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4696,Philo de l’éducation « Quelles attitudes pertinentes pour éduquer ? »,"Rencontre à destination des parents, beaux-parents et grands-parents animée par Gérard Lurol philosophe de l'éducation, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription en ligne, 30 participants par séance.","Vendredi 29 mars 2019, 19h30","60 rue du Général Leclerc, 92130"
4697,Pharmacie de garde,Retrouvez les pharmacies de garde du mois de septembre,,"Dimanche 16 septembre 2018, 09h00","30 avenue de la République, 92130 Issy-les-Moulineaux"
4698,Rencontre poétique «chevaux de guerre» avec Albane Gellé,"Un siècle après la Première Guerre Mondiale, le traumatisme reste présent dans la poésie, comme en témoigne le poème d’Albane Gellé. Rencontre sur réservation.","Entrée libre, renseignements par téléphone, réservation en ligne","Vendredi 28 septembre 2018, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4699,Le Japon au bout des doigts - atelier Casque de samouraï Kabuto avec Talachiné,"Atelier parent-enfant à partir de 10 ans, animé par l’association Talachiné, gratuit sur réservation","Atelier gratuit, renseignements par téléphone, inscription en ligne","Samedi 1 décembre 2018, 10h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4700,Conteurs de l’âge d’or,"« Le conte, c’est toujours un moment de plaisir et de paix »",,"Mercredi 10 octobre 2018, 10h00","4 rue Séverine, 92130 Issy-les-Moulineaux"
4701,Pharmacie de garde.,Retrouvez les pharmacies de garde du mois de novembre.,,"Dimanche 4 novembre 2018, 09h00","63 esplanade du Belvédère, 92130 Issy-les-Moulineaux"
4702,"De sabre et de plume, vernissage de l'exposition d'Albert Palma",Découverte de l'exposition et du parcours d'Albert Palma et projection du film court De sabre et de plume. Entrée libre sur réservation,"Entrée libre, renseignements par téléphone, réservation en ligne","Vendredi 30 novembre 2018, 19h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4703,Halloween,Vos commerçants fêtent Halloween,Entrée libre,"Mercredi 31 octobre 2018, 10h00",Issy les Moulineaux
4704,Cinéma : En liberté !,"Avec Adèle Haenel, Pio Marmaï, Vincent Elbaz et Audrey Tautou.",,7 - 12 novembre 2018,"11-13, rue Danton 92130 Issy-les-Moulineaux"
4705,Festival Ludia - Prix de l’illustration de jeu de société,Un week-end exceptionnel dédié au Jeu et à ses illustrations,Entrée libre et gratuite,17 et 18 novembre 2018,"18 rue de l'abbé Derry, 92130 Issy-les-Moulineaux"
4706,"Conférence : Moins de 18 ans, quels droits ? par Flore Capelier","Dans le cadre des Semaines Isséennes des Droits de l'enfant, l’Espace Jeunes Anne Frank accueille Flore Capelier, Docteur en Droit public et chargée de cours à l'Université Catholique de Lille","Renseignements par téléphone, entrée libre et gratuite","Mercredi 21 novembre 2018, 19h00","15 rue Diderot, 92130 Issy-les-Moulineaux"
4707,Sophrologie prénatale A3N,"Avec Géraldine Haegeli, sophrologue. Séance hebdomadaire pour les futures mamans",Sur réservation,"Vendredi 7 décembre 2018, 10h00","10 rue Henri Mayer, 92130 Issy-les-Moulineaux"
